make,model,id,year,price_usd,horsepower,seating_configuration,number_of_airbags,seat_material,heated_seats,seat_adjustments,extra_features,safety_features_detail,multimedia_features,storage_convenience_features,body_type,price_segment,performance_tier,cylinders,displacement_cc,engine_configuration,torque_nm,fuel_type,aspiration,fuel_tank_liters,transmission_type,transmission_detailed,drivetrain,tyre_size_front,tyre_size_rear,wheel_size_inches,brakes_front,brakes_rear,abs_system,brake_assist_system,braking_distance_100_to_0_meters,suspension_front,suspension_rear,steering_type,steering_ratio,wheelbase_mm,ground_clearance_mm,turning_radius_meters,curb_weight_kg,gvwr_kg,max_towing_capacity_kg,max_cargo_capacity_liters,acceleration_0_to_60_sec,top_speed_kmh,epa_city_mpg,epa_combined_mpg,epa_highway_mpg,co2_emissions_g_km,power_to_weight_ratio,fuel_efficiency_estimate
Toyota,4Runner,201,2016,36690,270,5 Seats (2 Front + 3 Rear),10,Fabric,No,Manual Adjustable,ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Power Windows | Power Steering | Air Conditioning | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer,SUV,Mid-Range,Performance,6,2800,V6,351,Gasoline,Naturally Aspirated,60,Automatic,8-speed Automatic,All-Wheel Drive,235/70R17,235/70R17,17,Ventilated Disc,Solid Disc,Yes,ABS + EBD + Brake Assist,36.2,Independent,Multi-link,Electric Power Steering,15.5,2700,200,4.1,2200,3080,2500,1000,10.2,285,16.3,19.2,22.1,12,405,25
Ferrari,550,207,2001,248500,485,5 Seats (2 Front + 3 Rear),6,Premium Leather,Yes (Front + Rear),Power Adjustable (8-way) with Memory,Climate Control | Leather Seats | Power Windows | Power Mirrors | Cruise Control,ABS | Dual Front Airbags | Pre-collision System | Blind Spot Detection | Lane Departure Warning | Automatic Emergency Braking,AM/FM Radio | Navigation System,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer | Dual Glove Box | Center Console Storage | Door Locks Storage,Convertible,Luxury,High-Performance,6,3500,V6,630,Gasoline,Turbocharged,55,Manual,4-speed Manual,Front-Wheel Drive,225/50R18,225/50R18,18,Ventilated Disc,Ventilated Disc,Maybe,ABS,34.8,Independent Double Wishbone,Independent,Hydraulic Power Steering,14.5,2400,150,3.6,1500,2100,1500,800,8.8,392,9,10.6,12.2,22,727.5,25
Ferrari,575M,210,2004,228339,515,5 Seats (2 Front + 3 Rear),6,Premium Leather,Yes (Front + Rear),Power Adjustable (8-way) with Memory,Climate Control | Leather Seats | Power Windows | Power Mirrors | Cruise Control,ABS | Dual Front Airbags | Pre-collision System | Blind Spot Detection | Lane Departure Warning | Automatic Emergency Braking,AM/FM Radio | Navigation System,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer | Dual Glove Box | Center Console Storage | Door Locks Storage,Coupe,Luxury,High-Performance,6,3500,V6,670,Gasoline,Turbocharged,55,Manual,4-speed Manual,Front-Wheel Drive,225/50R18,225/50R18,18,Ventilated Disc,Ventilated Disc,Maybe,ABS,34.6,Independent Double Wishbone,Independent,Hydraulic Power Steering,14.5,2400,150,3.6,1500,2100,1500,800,8.6,408,8.5,10,11.5,24,772.5,25
Ferrari,599,213,2011,320580,611,5 Seats (2 Front + 3 Rear),10,Premium Leather,Yes (Front + Rear),Power Adjustable (8-way) with Memory,ABS + EBD | Electronic Stability Control | Hill Assist | Climate Control | Leather Seats | Power Windows | Power Mirrors | Cruise Control | Infotainment System,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Pre-collision System | Blind Spot Detection | Lane Departure Warning | Automatic Emergency Braking,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Navigation System,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer | Dual Glove Box | Center Console Storage | Door Locks Storage,Coupe,Luxury,High-Performance,6,3500,V6,794,Gasoline,Turbocharged,55,Automatic,6-speed Automatic,Front-Wheel Drive,225/50R18,225/50R18,18,Ventilated Disc,Ventilated Disc,Yes,ABS + EBD + Brake Assist,33.9,Independent Double Wishbone,Independent,Electric Power Steering,14.5,2400,150,3.6,1500,2100,1500,800,7.9,456,8.5,10,11.5,24,916.5,25
Mazda,5,216,2015,24770,157,5 Seats (2 Front + 3 Rear),10,Fabric,No,Manual Adjustable,ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Power Steering | Manual Windows | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto,Cup Holders | Door Pockets,Van,Mid-Range,Standard,6,2400,V6,204,Gasoline,Naturally Aspirated,60,Automatic,6-speed Automatic,Front-Wheel Drive,205/70R15,205/70R15,15,Disc Brake,Drum Brake,Yes,ABS + EBD + Brake Assist,37,MacPherson Strut,Multi-link,Electric Power Steering,15.5,2400,150,3.6,1500,2100,1500,800,11,228,20.1,23.7,27.3,10,235.5,25
Ferrari,612 Scaglietti,225,2011,313088,532,5 Seats (2 Front + 3 Rear),10,Premium Leather,Yes (Front + Rear),Power Adjustable (8-way) with Memory,ABS + EBD | Electronic Stability Control | Hill Assist | Climate Control | Leather Seats | Power Windows | Power Mirrors | Cruise Control | Infotainment System,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Pre-collision System | Blind Spot Detection | Lane Departure Warning | Automatic Emergency Braking,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Navigation System,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer | Dual Glove Box | Center Console Storage | Door Locks Storage,Coupe,Luxury,High-Performance,6,3500,V6,692,Gasoline,Turbocharged,55,Automatic,6-speed Automatic,Front-Wheel Drive,225/50R18,225/50R18,18,Ventilated Disc,Ventilated Disc,Yes,ABS + EBD + Brake Assist,34.5,Independent Double Wishbone,Independent,Electric Power Steering,14.5,2400,150,3.6,1500,2100,1500,800,8.5,416,8.5,10,11.5,24,798,25
Mazda,626,227,2002,19985,165,5 Seats (2 Front + 3 Rear),2,Fabric,No,Manual Adjustable,Power Steering | Manual Windows,ABS | Dual Front Airbags,AM/FM Radio,Cup Holders | Door Pockets,Sedan,Budget,Standard,4,2000,I4,214,Gasoline,Naturally Aspirated,55,Manual,4-speed Manual,Front-Wheel Drive,205/65R16,205/65R16,16,Ventilated Disc,Solid Disc,Maybe,ABS,36.9,Independent Double Wishbone,Multi-link,Hydraulic Power Steering,15.5,2500,150,3.8,1800,2520,1500,500,10.9,232,19.9,23.4,26.9,10,247.5,25
Mazda,6,230,2017,30695,184,5 Seats (2 Front + 3 Rear),10,Fabric,No,Manual Adjustable,ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Power Windows | Power Steering | Air Conditioning | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer,Sedan,Mid-Range,Standard,4,2000,I4,239,Gasoline,Naturally Aspirated,55,Automatic,6-speed Automatic,Front-Wheel Drive,205/65R16,205/65R16,16,Ventilated Disc,Solid Disc,Yes,ABS + EBD + Brake Assist,36.8,Independent Double Wishbone,Multi-link,Electric Power Steering,15.5,2500,150,3.8,1800,2520,1500,500,10.8,242,19.2,22.6,26,10,276,25
Porsche,718 Cayman,234,2017,53900,300,5 Seats (2 Front + 3 Rear),10,Leather / Fabric Mix,Yes (Front Only),Power Adjustable (6-way),ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Climate Control | Leather Seats | Power Windows | Power Mirrors | Cruise Control | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto | Navigation System | Premium Sound System,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer | Dual Glove Box | Center Console Storage | Door Locks Storage,Coupe,Premium,Performance,6,3500,V6,390,Diesel,Naturally Aspirated,55,Automatic,8-speed Automatic,Front-Wheel Drive,225/50R18,225/50R18,18,Ventilated Disc,Ventilated Disc,Yes,ABS + EBD + Brake Assist,36,Independent Double Wishbone,Independent,Electric Power Steering,14.5,2400,150,3.6,1500,2100,1500,800,10,300,15.3,18,20.7,13,450,25
Toyota,86,235,2017,26255,205,5 Seats (2 Front + 3 Rear),10,Fabric,No,Manual Adjustable,ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Power Windows | Power Steering | Air Conditioning | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer,Coupe,Mid-Range,Standard,6,3500,V6,266,Gasoline,Naturally Aspirated,55,Automatic,8-speed Automatic,Front-Wheel Drive,225/50R18,225/50R18,18,Ventilated Disc,Ventilated Disc,Yes,ABS + EBD + Brake Assist,36.6,Independent Double Wishbone,Independent,Electric Power Steering,14.5,2400,150,3.6,1500,2100,1500,800,10.6,252,18.5,21.8,25.1,11,307.5,25
Porsche,911,251,2017,159200,540,5 Seats (2 Front + 3 Rear),12,Premium Leather,Yes (Front + Rear),Power Adjustable (8-way) with Memory,ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Climate Control | Leather Seats | Power Windows | Power Mirrors | Cruise Control | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring | Pre-collision System | Blind Spot Detection | Lane Departure Warning | Automatic Emergency Braking,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto | Navigation System | Premium Sound System,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer | Dual Glove Box | Center Console Storage | Door Locks Storage,Coupe,Luxury,High-Performance,6,3500,V6,702,Diesel,Turbocharged,55,Automatic,8-speed Automatic,Front-Wheel Drive,225/50R18,225/50R18,18,Ventilated Disc,Ventilated Disc,Yes,ABS + EBD + Brake Assist,34.4,Independent Double Wishbone,Independent,Electric Power Steering,14.5,2400,150,3.6,1500,2100,1500,800,8.4,420,8.5,10,11.5,24,810,25
Audi,A3,254,2017,43150,220,5 Seats (2 Front + 3 Rear),10,Fabric,No,Manual Adjustable,ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Power Windows | Power Steering | Air Conditioning | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer,Sedan,Mid-Range,Standard,4,2000,I4,286,Diesel,Naturally Aspirated,55,Automatic,8-speed Automatic,Front-Wheel Drive,205/65R16,205/65R16,16,Ventilated Disc,Solid Disc,Yes,ABS + EBD + Brake Assist,36.5,Independent Double Wishbone,Multi-link,Electric Power Steering,15.5,2500,150,3.8,1800,2520,1500,500,10.5,260,18,21.2,24.4,11,330,25
Audi,A4,258,2017,37300,252,5 Seats (2 Front + 3 Rear),10,Fabric,No,Manual Adjustable,ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Power Windows | Power Steering | Air Conditioning | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer,Sedan,Mid-Range,Performance,4,2000,I4,328,Diesel,Naturally Aspirated,55,Automatic,8-speed Automatic,Front-Wheel Drive,205/65R16,205/65R16,16,Ventilated Disc,Solid Disc,Yes,ABS + EBD + Brake Assist,36.3,Independent Double Wishbone,Multi-link,Electric Power Steering,15.5,2500,150,3.8,1800,2520,1500,500,10.3,276,16.9,19.9,22.9,12,378,25
Audi,A5,260,2017,41200,220,5 Seats (2 Front + 3 Rear),10,Fabric,No,Manual Adjustable,ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Power Windows | Power Steering | Air Conditioning | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer,Coupe,Mid-Range,Standard,6,3500,V6,286,Diesel,Naturally Aspirated,55,Automatic,8-speed Automatic,Front-Wheel Drive,225/50R18,225/50R18,18,Ventilated Disc,Ventilated Disc,Yes,ABS + EBD + Brake Assist,36.5,Independent Double Wishbone,Independent,Electric Power Steering,14.5,2400,150,3.6,1500,2100,1500,800,10.5,260,18,21.2,24.4,11,330,25
Audi,A6,263,2017,53800,252,5 Seats (2 Front + 3 Rear),10,Leather / Fabric Mix,Yes (Front Only),Power Adjustable (6-way),ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Climate Control | Leather Seats | Power Windows | Power Mirrors | Cruise Control | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto | Navigation System | Premium Sound System,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer | Dual Glove Box | Center Console Storage | Door Locks Storage,Sedan,Premium,Performance,4,2000,I4,328,Diesel,Naturally Aspirated,55,Automatic,8-speed Automatic,Front-Wheel Drive,205/65R16,205/65R16,16,Ventilated Disc,Solid Disc,Yes,ABS + EBD + Brake Assist,36.3,Independent Double Wishbone,Multi-link,Electric Power Steering,15.5,2500,150,3.8,1800,2520,1500,500,10.3,276,16.9,19.9,22.9,12,378,25
Audi,A7,266,2017,68800,333,5 Seats (2 Front + 3 Rear),10,Leather / Fabric Mix,Yes (Front Only),Power Adjustable (6-way),ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Climate Control | Leather Seats | Power Windows | Power Mirrors | Cruise Control | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto | Navigation System | Premium Sound System,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer | Dual Glove Box | Center Console Storage | Door Locks Storage,Sedan,Premium,Performance,4,2000,I4,433,Diesel,Naturally Aspirated,55,Automatic,8-speed Automatic,Front-Wheel Drive,205/65R16,205/65R16,16,Ventilated Disc,Solid Disc,Yes,ABS + EBD + Brake Assist,35.8,Independent Double Wishbone,Multi-link,Electric Power Steering,15.5,2500,150,3.8,1800,2520,1500,500,9.8,316,14.2,16.7,19.2,14,499.5,25
Audi,A8,268,2017,91500,450,5 Seats (2 Front + 3 Rear),10,Leather / Fabric Mix,Yes (Front Only),Power Adjustable (6-way),ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Climate Control | Leather Seats | Power Windows | Power Mirrors | Cruise Control | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto | Navigation System | Premium Sound System,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer | Dual Glove Box | Center Console Storage | Door Locks Storage,Sedan,Premium,High-Performance,4,2000,I4,585,Diesel,Turbocharged,55,Automatic,8-speed Automatic,Front-Wheel Drive,205/65R16,205/65R16,16,Ventilated Disc,Solid Disc,Yes,ABS + EBD + Brake Assist,35,Independent Double Wishbone,Multi-link,Electric Power Steering,15.5,2500,150,3.8,1800,2520,1500,500,9,375,10.2,12,13.8,20,675,25
GMC,Acadia Limited,269,2017,43850,281,5 Seats (2 Front + 3 Rear),10,Fabric,No,Manual Adjustable,ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Power Windows | Power Steering | Air Conditioning | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer,SUV,Mid-Range,Performance,6,2800,V6,365,Gasoline,Naturally Aspirated,60,Automatic,8-speed Automatic,All-Wheel Drive,235/70R17,235/70R17,17,Ventilated Disc,Solid Disc,Yes,ABS + EBD + Brake Assist,36.1,Independent,Multi-link,Electric Power Steering,15.5,2700,200,4.1,2200,3080,2500,1000,10.1,290,16,18.8,21.6,12,421.5,25
GMC,Acadia,272,2017,38350,194,5 Seats (2 Front + 3 Rear),10,Fabric,No,Manual Adjustable,ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Power Windows | Power Steering | Air Conditioning | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer,SUV,Mid-Range,Standard,6,2800,V6,252,Gasoline,Naturally Aspirated,60,Automatic,6-speed Automatic,All-Wheel Drive,235/70R17,235/70R17,17,Ventilated Disc,Solid Disc,Yes,ABS + EBD + Brake Assist,36.7,Independent,Multi-link,Electric Power Steering,15.5,2700,200,4.1,2200,3080,2500,1000,10.7,247,18.9,22.2,25.5,11,291,25
Hyundai,Accent,275,2016,15745,137,5 Seats (2 Front + 3 Rear),8,Fabric,No,Manual Adjustable,ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Power Steering | Manual Windows | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto,Cup Holders | Door Pockets,Sedan,Budget,Economy,4,2000,I4,178,Gasoline,Naturally Aspirated,55,Automatic,6-speed Automatic,Front-Wheel Drive,205/65R16,205/65R16,16,Ventilated Disc,Solid Disc,Yes,ABS + EBD + Brake Assist,37.1,Independent Double Wishbone,Multi-link,Electric Power Steering,15.5,2500,150,3.8,1800,2520,1500,500,11.1,218,20.8,24.5,28.2,10,205.5,25
Honda,Accord Crosstour,277,2011,29990,271,5 Seats (2 Front + 3 Rear),8,Fabric,No,Manual Adjustable,ABS + EBD | Electronic Stability Control | Hill Assist | Power Windows | Power Steering | Air Conditioning | Infotainment System,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags,AM/FM Radio | CD Player | USB Port | Auxiliary Input,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer,Hatchback,Mid-Range,Performance,4,1500,I4,352,Gasoline,Naturally Aspirated,55,Automatic,6-speed Automatic,Front-Wheel Drive,195/60R15,195/60R15,15,Disc Brake,Disc Brake,Yes,ABS + EBD + Brake Assist,36.2,MacPherson Strut,Torsion Beam,Electric Power Steering,15.5,2400,150,3.6,1500,2100,1500,800,10.2,286,16.3,19.2,22.1,12,406.5,25
Honda,Accord Hybrid,280,2017,29605,212,5 Seats (2 Front + 3 Rear),10,Fabric,No,Manual Adjustable,ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Power Windows | Power Steering | Air Conditioning | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer,Sedan,Mid-Range,Standard,4,2000,I4,276,Gasoline,Naturally Aspirated,55,Automatic,8-speed Automatic,Front-Wheel Drive,205/65R16,205/65R16,16,Ventilated Disc,Solid Disc,Yes,ABS + EBD + Brake Assist,36.6,Independent Double Wishbone,Multi-link,Electric Power Steering,15.5,2500,150,3.8,1800,2520,1500,500,10.6,256,18.3,21.5,24.7,11,318,25
Honda,Accord Plug-In Hybrid,281,2014,39780,196,5 Seats (2 Front + 3 Rear),8,Fabric,No,Manual Adjustable,ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Power Windows | Power Steering | Air Conditioning | Infotainment System | Bluetooth Connectivity,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer,Sedan,Mid-Range,Standard,4,2000,I4,255,Gasoline,Naturally Aspirated,55,Automatic,6-speed Automatic,Front-Wheel Drive,205/65R16,205/65R16,16,Ventilated Disc,Solid Disc,Yes,ABS + EBD + Brake Assist,36.7,Independent Double Wishbone,Multi-link,Electric Power Steering,15.5,2500,150,3.8,1800,2520,1500,500,10.7,248,18.9,22.2,25.5,11,294,25
Honda,Accord,284,2017,26215,189,5 Seats (2 Front + 3 Rear),10,Fabric,No,Manual Adjustable,ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Power Windows | Power Steering | Air Conditioning | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer,Sedan,Mid-Range,Standard,4,2000,I4,246,Gasoline,Naturally Aspirated,55,Automatic,6-speed Automatic,Front-Wheel Drive,205/65R16,205/65R16,16,Ventilated Disc,Solid Disc,Yes,ABS + EBD + Brake Assist,36.7,Independent Double Wishbone,Multi-link,Electric Power Steering,15.5,2500,150,3.8,1800,2520,1500,500,10.7,244,19,22.4,25.8,10,283.5,25
BMW,ActiveHybrid 5,287,2016,62100,335,5 Seats (2 Front + 3 Rear),10,Leather / Fabric Mix,Yes (Front Only),Power Adjustable (6-way),ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Climate Control | Leather Seats | Power Windows | Power Mirrors | Cruise Control | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto | Navigation System | Premium Sound System,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer | Dual Glove Box | Center Console Storage | Door Locks Storage,Sedan,Premium,Performance,4,2000,I4,436,Diesel,Naturally Aspirated,55,Automatic,8-speed Automatic,Front-Wheel Drive,205/65R16,205/65R16,16,Ventilated Disc,Solid Disc,Yes,ABS + EBD + Brake Assist,35.8,Independent Double Wishbone,Multi-link,Electric Power Steering,15.5,2500,150,3.8,1800,2520,1500,500,9.8,318,14.1,16.6,19.1,14,502.5,25
BMW,ActiveHybrid 7,290,2015,84300,335,5 Seats (2 Front + 3 Rear),10,Leather / Fabric Mix,Yes (Front Only),Power Adjustable (6-way),ABS + EBD | Electronic Stability Control | Hill Assist | Traction Control | Climate Control | Leather Seats | Power Windows | Power Mirrors | Cruise Control | Infotainment System | Bluetooth Connectivity | Touch Screen Display | Smartphone Integration,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags | Electronic Brake Force Distribution | Tire Pressure Monitoring,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Bluetooth Audio | Hands-Free Calling | Touchscreen Display | Apple CarPlay/Android Auto | Navigation System | Premium Sound System,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer | Dual Glove Box | Center Console Storage | Door Locks Storage,Sedan,Premium,Performance,4,2000,I4,436,Diesel,Naturally Aspirated,55,Automatic,8-speed Automatic,Front-Wheel Drive,205/65R16,205/65R16,16,Ventilated Disc,Solid Disc,Yes,ABS + EBD + Brake Assist,35.8,Independent Double Wishbone,Multi-link,Electric Power Steering,15.5,2500,150,3.8,1800,2520,1500,500,9.8,318,14.1,16.6,19.1,14,502.5,25
BMW,ActiveHybrid X6,292,2011,88900,480,5 Seats (2 Front + 3 Rear),8,Leather / Fabric Mix,Yes (Front Only),Power Adjustable (6-way),ABS + EBD | Electronic Stability Control | Hill Assist | Climate Control | Leather Seats | Power Windows | Power Mirrors | Cruise Control | Infotainment System,ABS | Dual Front Airbags | Side Airbags | Curtain Airbags,AM/FM Radio | CD Player | USB Port | Auxiliary Input | Navigation System,Cup Holders | Door Pockets | Floor Mats | Trunk Organizer | Dual Glove Box | Center Console Storage | Door Locks Storage,SUV,Premium,High-Performance,6,2800,V6,624,Diesel,Turbocharged,60,Automatic,6-speed Automatic,All-Wheel Drive,235/70R17,235/70R17,17,Ventilated Disc,Solid Disc,Yes,ABS + EBD + Brake Assist,34.8,Independent,Multi-link,Electric Power Steering,15.5,2700,200,4.1,2200,3080,2500,1000,8.8,390,9.2,10.8,12.4,22,720,25
